Película;Año;Imdb Score
A Bridge Too Far;1977;7,4
Shadowlands;1993;7,4
Death at a Funeral;2007;7,4
Capitalism: A Love Story;2009;7,4
Deconstructing Harry;1997;7,4
Death at a Funeral;2007;7,4
Topsy-Turvy;1999;7,4
Little Boy;2015;7,4
The Proposition;2005;7,4
The Baader Meinhof Complex;2008;7,4
Blow Out;1981;7,4
Mao's Last Dancer;2009;7,4
National Lampoon's Vacation;1983;7,4
Grosse Pointe Blank;1997;7,4
The Love Letter;1998;7,4
Manderlay;2005;7,4
Far from Heaven;2002;7,4
Quills;2000;7,4
Quest for Fire;1981;7,4
Witness;1985;7,4
Frida;2002;7,4
Inside Llewyn Davis;2013;7,4
Poltergeist;1982;7,4
La Famille Bélier;2014;7,4
Dogma;1999;7,4
Love Jones;1997;7,4
Dirty Pretty Things;2002;7,4
Much Ado About Nothing;1993;7,4
Capote;2005;7,4
Stargate: The Ark of Truth;2008;7,4
Layer Cake;2004;7,4
Caddyshack;1980;7,4
City Island;2009;7,4
Julia;1977;7,4
Irreversible;2002;7,4
Clerks II;2006;7,4
Heavenly Creatures;1994;7,4
I Served the King of England;2006;7,4
Take Shelter;2011;7,4
Pat Garrett & Billy the Kid;1973;7,4
Moby Dick;1956;7,4
Bound;1996;7,4
The Misfits;1961;7,4
Bella;2006;7,4
Waking Ned Devine;1998;7,4
A Room with a View;1985;7,4
Frances Ha;2012;7,4
Summer Storm;2004;7,4
Point Blank;1967;7,4
Hustle & Flow;2005;7,4
The Black Stallion;1979;7,4
Silver Medallist;2009;7,4
Gentleman's Agreement;1947;7,4
Me and You and Everyone We Know;2005;7,4
It's All Gone Pete Tong;2004;7,4
Under the Same Moon;2007;7,4
She Wore a Yellow Ribbon;1949;7,4
The Squid and the Whale;2005;7,4
Journey from the Fall;2006;7,4
Monsoon Wedding;2001;7,4
Transamerica;2005;7,4
20 Feet from Stardom;2013;7,4
Wristcutters: A Love Story;2006;7,4
Guiana 1838;2004;7,4
Bambi;1942;7,4
Harrison Montgomery;2008;7,4
Starsuckers;2009;7,4
The Hadza: Last of the First;2014;7,4
Wordplay;2006;7,4
Osama;2003;7,4
Alleluia! The Devil's Carnival;2016;7,4
Across the Universe;2007;7,4
The Love Letter;1998;7,4
The Case of the Grinning Cat;2004;7,4
The Horse Boy;2009;7,4
Une Femme Mariée;1964;7,4
Eraserhead;1977;7,4
The Image Revolution;2014;7,4
Stories of Our Lives;2014;7,4
The Cure;1997;7,4
Monsters University;2013;7,3
Kung Fu Panda 2;2011;7,3
Rise of the Guardians;2012;7,3
Megamind;2010;7,3
The Emperor's New Groove;2000;7,3
The Spanish Prisoner;1997;7,3
Seabiscuit;2003;7,3
Memoirs of a Geisha;2005;7,3
Face/Off;1997;7,3
Fantasia 2000;1999;7,3
Thirteen Days;2000;7,3
This Is It;2009;7,3
Superman;1978;7,3
Ronin;1998;7,3
Erin Brockovich;2000;7,3
The Negotiator;1998;7,3
The Life Aquatic with Steve Zissou;2004;7,3
The Infiltrator;2016;7,3
Galaxy Quest;1999;7,3
Finding Forrester;2000;7,3
Eight Below;2006;7,3
Sunshine;2007;7,3
The Hudsucker Proxy;1994;7,3
Precious;2009;7,3
The Express;2008;7,3
Cape Fear;1991;7,3
The Bad News Bears;1976;7,3
The Young Victoria;2009;7,3
The Fountain;2006;7,3
Mr. Holland's Opus;1995;7,3
Frequency;2000;7,3
Winnie the Pooh;2011;7,3
North Country;2005;7,3
Barney's Version;2010;7,3
Punch-Drunk Love;2002;7,3
Angela's Ashes;1999;7,3
Big Trouble in Little China;1986;7,3
Waterloo;1970;7,3
Star Trek IV: The Voyage Home;1986;7,3
The Hundred-Foot Journey;2014;7,3
Molière;2007;7,3
Michael Clayton;2007;7,3
The Bank Job;2008;7,3
Big;1988;7,3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;7,3
Gosford Park;2001;7,3
Mongol: The Rise of Genghis Khan;2007;7,3
Enter the Void;2009;7,3
The Queen;2006;7,3
Amen.;2002;7,3
The Widow of Saint-Pierre;2000;7,3
Antwone Fisher;2002;7,3
The Land Before Time;1988;7,3
Duma;2005;7,3
The Secret Life of Bees;2008;7,3
Precious;2009;7,3
Pete's Dragon;2016;7,3
Shaolin Soccer;2001;7,3
Imaginary Heroes;2004;7,3
Loose Cannons;2010;7,3
Flame and Citron;2008;7,3
Polisse;2011;7,3
Election;1999;7,3
Namastey London;2007;7,3
Another Year;2010;7,3
Far from Men;2014;7,3
An Education;2009;7,3
Pale Rider;1985;7,3
Aimee & Jaguar;1999;7,3
Aberdeen;2000;7,3
